Title,Year,Plot
Brother Bear,(2003),"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
Castle in the Sky,(1986),A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
The Transformers: The Movie,(1986),"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons."
The Loud House,(2021),"With his parents and all 10 sisters in tow, Lincoln Loud heads to Scotland and learns that royalty runs in the family in this global musical journey."
Turbo,(2013),A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.
Abominable,(2019),Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.
The Lego Movie 2: The Second Part,(2019),"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild."
Alice in Wonderland,(1951),Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
Monkeybone,(2001),"In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone."
Planet 51,(2009),"An alien civilization is invaded by Astronaut Chuck Baker, who believes that the planet was uninhabited. Wanted by the military, Baker must get back to his ship before it goes into orbit without him."
Cinderella,(1950),"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq, and from her Fairy Godmother."
Sleeping Beauty,(1959),"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
Mr. Peabody & Sherman,(2014),"The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created."
Hotel Transylvania 2,(2015),"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel."
Bedknobs and Broomsticks,(1971),"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II."
James and the Giant Peach,(1996),"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City."
Penguins of Madagascar,(2014),"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it."
9,(2009),A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
Extinct,(2021),Two Flummels (an extinct species of fluffy rabbit-like creatures with holes in their center) find themselves transported from 1835 to modern day Shanghai.
Angry Birds,(2016),"When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to."
A Scanner Darkly,(2006),An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.
The Secret World of Arrietty,(2010),"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered."
Peter Pan,(1953),"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
The Lord of the Rings,(1978),The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.
Ice Age: Continental Drift,(2012),"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
Loving Vincent,(2017),"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there."
Alvin and the Chipmunks,(2007),Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.
Madagascar: Escape 2 Africa,(2008),"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride."
Osmosis Jones,(2001),"A policeman white blood cell, with the help of a cold pill, must stop a deadly virus from destroying the human they live in, Frank."
Flushed Away,(2006),"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life."
The Willoughbys,(2020),"Convinced they'd be better off raising themselves, the Willoughby children hatch a sneaky plan to send their selfish parents on vacation. The siblings then embark on their own high-flying adventure to find the true meaning of family."
FernGully: The Last Rainforest,(1992),"The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus."
Belle: The Dragon and the Freckled Princess,(2021),"Suzu, a teenager living with her father in a small town in the mountains. In virtual world called ""U"", Suzu is Belle, a musical icon."
Mary and Max,(2009),"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
Watership Down,(1978),"Hoping to escape destruction by human developers and save their community, a colony of rabbits, led by Hazel and Fiver, seek out a safe place to set up a new warren."
The Rescuers Down Under,(1990),"The R.A.S. agents, Miss Bianca and Bernard, race to Australia to save a little boy and a rare golden eagle from a murderous poacher."
The Simpsons Movie,(2007),"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."
The Secret of NIMH,(1982),"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she ever suspected."
Justice Society: World War II,(2021),"The Justice Society of America, a group of heroes aiding the allies in World War 2, acquire an ally from the future who sends them on an adventure that changes history."
Cloudy with a Chance of Meatballs 2,(2013),"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids."
The Black Cauldron,(1985),A young boy and a group of misfit friends embark on a quest to find a dark magic item of ultimate power before a diabolical tyrant can.
